ID	Assessment	Class	Group_Number	Group	Subgroup	Scope	Severity	Irreversibility	Criticality_20_years_ago	Overall_criticality	Trend_of_change_(of_current_criticality)	Criticality_in_the_next_20_years	Systemic_activity_(level_of_activity)	Systemic_activity_(no._of_influenced_elements)	Systemic_Activity	Strategic_Relevance_(Value)	Strategic_Relevance_(Rank)	Manageability	Knowledge	Rank	Region	Climate	Human_Development_Index
185	PE-RCS	Factor	7	Natural_resource-use_related_factors	NA	NA	NA	NA	NA	2	3	4	NA	NA	2	11	3	4	2	5	Amazon	Tropics	High
186	PE-RCS	Factor	8	Socio-cultural_factors	NA	NA	NA	NA	3	2	1	1	NA	NA	2	6	1	4	1	10	Amazon	Tropics	High
187	PE-RCS	Factor	2	Governance-related_factors	NA	NA	NA	NA	3	3	1	1	NA	NA	2	7	1	2	2	9	Amazon	Tropics	High
188	PE-RCS	Factor	9	Socio-economic_factors	NA	NA	NA	NA	2	2	2	1	NA	NA	2	7	1	2	3	9	Amazon	Tropics	High
189	PE-RCS	Factor	2	Governance-related_factors	NA	NA	NA	NA	3	2	1	1	NA	NA	3	7	1	4	2	9	Amazon	Tropics	High
190	PE-RCS	Factor	9	Socio-economic_factors	NA	NA	NA	NA	1	2	3	4	NA	NA	3	12	3	4	1	4	Amazon	Tropics	High
191	PE-RCS	Factor	7	Natural_resource-use_related_factors	NA	NA	NA	NA	NA	NA	3	3	NA	NA	3	9	2	2	2	7	Amazon	Tropics	High
192	PE-RCS	Factor	7	Natural_resource-use_related_factors	NA	NA	NA	NA	NA	NA	3	4	NA	NA	2	9	2	4	2	7	Amazon	Tropics	High
193	PE-RCS	Factor	7	Natural_resource-use_related_factors	NA	NA	NA	NA	NA	NA	3	4	NA	NA	2	9	2	2	3	7	Amazon	Tropics	High
194	PE-RCS	Factor	7	Natural_resource-use_related_factors	NA	NA	NA	NA	NA	1	3	4	NA	NA	2	10	2	2	3	6	Amazon	Tropics	High
195	PE-RCS	Factor	7	Natural_resource-use_related_factors	NA	NA	NA	NA	NA	NA	3	4	NA	NA	3	10	2	4	3	6	Amazon	Tropics	High
196	PE-RCS	Factor	7	Natural_resource-use_related_factors	NA	NA	NA	NA	NA	2	3	4	NA	NA	4	13	3	2	2	3	Amazon	Tropics	High
197	PE-RCS	Factor	7	Natural_resource-use_related_factors	NA	NA	NA	NA	NA	3	3	4	NA	NA	4	14	4	4	2	2	Amazon	Tropics	High
198	PE-RCS	Factor	9	Socio-economic_factors	NA	NA	NA	NA	3	3	1	1	NA	NA	4	9	2	2	1	7	Amazon	Tropics	High
199	PE-RCS	Factor	9	Socio-economic_factors	NA	NA	NA	NA	NA	NA	3	3	NA	NA	2	8	2	2	4	8	Amazon	Tropics	High
200	PE-RCS	Factor	2	Governance-related_factors	NA	NA	NA	NA	NA	2	2	2	NA	NA	3	9	2	4	1	7	Amazon	Tropics	High
201	PE-RCS	Factor	9	Socio-economic_factors	NA	NA	NA	NA	NA	2	3	3	NA	NA	2	10	2	4	4	6	Amazon	Tropics	High
202	PE-RCS	Factor	2	Governance-related_factors	NA	NA	NA	NA	NA	1	3	3	NA	NA	2	9	2	2	3	7	Amazon	Tropics	High
203	PE-RCS	Factor	9	Socio-economic_factors	NA	NA	NA	NA	NA	NA	3	4	NA	NA	2	9	2	4	4	7	Amazon	Tropics	High
204	PE-RCS	Factor	9	Socio-economic_factors	NA	NA	NA	NA	NA	NA	3	3	NA	NA	3	9	2	2	4	7	Amazon	Tropics	High
205	PE-RCS	Factor	9	Socio-economic_factors	NA	NA	NA	NA	1	1	3	3	NA	NA	3	10	2	4	3	6	Amazon	Tropics	High
206	PE-RCS	Factor	9	Socio-economic_factors	NA	NA	NA	NA	NA	2	3	3	NA	NA	3	11	3	2	3	5	Amazon	Tropics	High
207	PE-RCS	Factor	8	Socio-cultural_factors	NA	NA	NA	NA	NA	1	3	3	NA	NA	3	10	2	2	3	6	Amazon	Tropics	High
208	PE-RCS	Factor	9	Socio-economic_factors	NA	NA	NA	NA	NA	2	3	3	NA	NA	3	11	3	4	2	5	Amazon	Tropics	High
209	PE-RCS	Factor	9	Socio-economic_factors	NA	NA	NA	NA	1	1	3	4	NA	NA	4	12	3	4	3	4	Amazon	Tropics	High
210	PE-RCS	Factor	7	Natural_resource-use_related_factors	NA	NA	NA	NA	3	1	3	3	NA	NA	2	9	2	4	2	7	Amazon	Tropics	High
211	PE-RCS	Factor	8	Socio-cultural_factors	NA	NA	NA	NA	3	1	3	3	NA	NA	2	9	2	4	2	7	Amazon	Tropics	High
212	PE-RCS	Factor	7	Natural_resource-use_related_factors	NA	NA	NA	NA	3	1	3	3	NA	NA	2	9	2	4	2	7	Amazon	Tropics	High
213	PE-RCS	Factor	2	Governance-related_factors	NA	NA	NA	NA	3	1	3	3	NA	NA	2	9	2	4	3	7	Amazon	Tropics	High
214	PE-RCS	Factor	9	Socio-economic_factors	NA	NA	NA	NA	3	2	3	3	NA	NA	2	10	2	4	2	6	Amazon	Tropics	High
215	PE-RCS	Factor	2	Governance-related_factors	NA	NA	NA	NA	NA	1	3	3	NA	NA	3	10	2	4	3	6	Amazon	Tropics	High
216	PE-RCS	Factor	2	Governance-related_factors	NA	NA	NA	NA	3	2	3	3	NA	NA	3	11	3	4	2	5	Amazon	Tropics	High
217	PE-RCS	Factor	8	Socio-cultural_factors	NA	NA	NA	NA	NA	1	2	2	NA	NA	3	8	2	3	3	8	Amazon	Tropics	High
218	PE-RCS	Factor	8	Socio-cultural_factors	NA	NA	NA	NA	NA	1	2	2	NA	NA	3	8	2	3	3	8	Amazon	Tropics	High
219	PE-RCS	Factor	8	Socio-cultural_factors	NA	NA	NA	NA	NA	1	2	2	NA	NA	3	8	2	4	3	8	Amazon	Tropics	High
220	PE-RCS	Factor	8	Socio-cultural_factors	NA	NA	NA	NA	1	1	2	2	NA	NA	3	8	2	3	2	8	Amazon	Tropics	High
221	PE-RCS	Factor	8	Socio-cultural_factors	NA	NA	NA	NA	1	1	2	2	NA	NA	3	8	2	3	2	8	Amazon	Tropics	High
222	PE-RCS	Factor	8	Socio-cultural_factors	NA	NA	NA	NA	1	3	1	1	NA	NA	4	9	2	3	1	7	Amazon	Tropics	High
223	PE-RCS	Factor	8	Socio-cultural_factors	NA	NA	NA	NA	NA	2	3	3	NA	NA	3	11	3	4	2	5	Amazon	Tropics	High
224	PE-RCS	Factor	8	Socio-cultural_factors	NA	NA	NA	NA	1	3	3	4	NA	NA	1	11	3	3	2	5	Amazon	Tropics	High
225	PE-RCS	Factor	1	Demographic_factors	NA	NA	NA	NA	NA	2	3	4	NA	NA	2	11	3	4	2	5	Amazon	Tropics	High
226	PE-RCS	Factor	1	Demographic_factors	NA	NA	NA	NA	1	4	3	3	NA	NA	2	12	3	2	2	4	Amazon	Tropics	High
227	PE-RCS	Factor	1	Demographic_factors	NA	NA	NA	NA	1	3	3	4	NA	NA	2	12	3	2	2	4	Amazon	Tropics	High
228	PE-RCS	Factor	1	Demographic_factors	NA	NA	NA	NA	1	3	3	4	NA	NA	2	12	3	4	2	4	Amazon	Tropics	High
229	PE-RCS	Factor	9	Socio-economic_factors	NA	NA	NA	NA	NA	1	1	1	NA	NA	3	6	1	2	3	10	Amazon	Tropics	High
230	PE-RCS	Factor	2	Governance-related_factors	NA	NA	NA	NA	NA	1	3	2	NA	NA	2	8	2	2	3	8	Amazon	Tropics	High
231	PE-RCS	Factor	2	Governance-related_factors	NA	NA	NA	NA	NA	1	3	1	NA	NA	3	8	2	2	2	8	Amazon	Tropics	High
232	PE-RCS	Factor	2	Governance-related_factors	NA	NA	NA	NA	NA	1	3	2	NA	NA	2	8	2	2	3	8	Amazon	Tropics	High
233	PE-RCS	Factor	2	Governance-related_factors	NA	NA	NA	NA	NA	2	3	2	NA	NA	3	10	2	3	2	6	Amazon	Tropics	High
234	PE-RCS	Factor	2	Governance-related_factors	NA	NA	NA	NA	3	2	3	3	NA	NA	3	11	3	2	2	5	Amazon	Tropics	High
235	PE-RCS	Factor	2	Governance-related_factors	NA	NA	NA	NA	NA	2	3	3	NA	NA	3	11	3	4	2	5	Amazon	Tropics	High
236	PE-RCS	Factor	2	Governance-related_factors	NA	NA	NA	NA	3	2	3	3	NA	NA	3	11	3	4	2	5	Amazon	Tropics	High
237	PE-RCS	Factor	2	Governance-related_factors	NA	NA	NA	NA	2	2	3	2	NA	NA	4	11	3	3	2	5	Amazon	Tropics	High
238	PE-RCS	Factor	4	Infrastructure-related_factors	NA	NA	NA	NA	NA	3	3	4	NA	NA	3	13	3	2	2	3	Amazon	Tropics	High
239	PE-RCS	Factor	4	Infrastructure-related_factors	NA	NA	NA	NA	NA	3	3	4	NA	NA	3	13	3	2	2	3	Amazon	Tropics	High
240	PE-RCS	Factor	4	Infrastructure-related_factors	NA	NA	NA	NA	NA	3	3	4	NA	NA	3	13	3	2	2	3	Amazon	Tropics	High
241	PE-RCS	Factor	4	Infrastructure-related_factors	NA	NA	NA	NA	NA	0	3	4	NA	NA	3	10	2	4	2	6	Amazon	Tropics	High
242	PE-RCS	Factor	4	Infrastructure-related_factors	NA	NA	NA	NA	NA	0	2	4	NA	NA	4	10	2	2	1	6	Amazon	Tropics	High
243	PE-RCS	Factor	1	Demographic_factors	NA	NA	NA	NA	1	2	3	4	NA	NA	3	12	3	2	2	4	Amazon	Tropics	High
244	PE-RCS	Factor	1	Demographic_factors	NA	NA	NA	NA	NA	2	4	4	NA	NA	2	12	3	4	3	4	Amazon	Tropics	High
245	PE-RCS	Factor	9	Socio-economic_factors	NA	NA	NA	NA	NA	0	3	3	NA	NA	2	8	2	4	3	8	Amazon	Tropics	High
246	PE-RCS	Factor	5	Institutional_factors	NA	NA	NA	NA	NA	2	2	3	NA	NA	3	10	2	2	2	6	Amazon	Tropics	High
247	PE-RCS	Factor	2	Governance-related_factors	NA	NA	NA	NA	NA	3	1	2	NA	NA	4	10	2	2	1	6	Amazon	Tropics	High
248	PE-RCS	Factor	7	Natural_resource-use_related_factors	NA	NA	NA	NA	NA	1	3	3	NA	NA	3	10	2	2	2	6	Amazon	Tropics	High
249	PE-RCS	Factor	7	Natural_resource-use_related_factors	NA	NA	NA	NA	NA	1	3	3	NA	NA	3	10	2	3	1	6	Amazon	Tropics	High
250	PE-RCS	Factor	7	Natural_resource-use_related_factors	NA	NA	NA	NA	NA	0	0	4	NA	NA	3	7	1	3	3	9	Amazon	Tropics	High
251	PE-RCS	Factor	7	Natural_resource-use_related_factors	NA	NA	NA	NA	NA	3	1	2	NA	NA	4	10	2	2	1	6	Amazon	Tropics	High
252	DE-LRP	Factor	8	Socio-cultural_factors	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Temperate	Very
253	DE-LRP	Factor	8	Socio-cultural_factors	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Temperate	Very
254	DE-LRP	Factor	9	Socio-economic_factors	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Temperate	Very
255	DE-LRP	Factor	9	Socio-economic_factors	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Temperate	Very
256	DE-LRP	Factor	9	Socio-economic_factors	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Temperate	Very
257	DE-LRP	Factor	8	Socio-cultural_factors	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Temperate	Very
258	DE-LRP	Factor	2	Governance-related_factors	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Temperate	Very
259	DE-LRP	Factor	9	Socio-economic_factors	NA	3	2	2	1	3	3	4	1	1	1	11	3	2	2	4	World	Temperate	Very
260	DE-LRP	Factor	4	Infrastructure-related_factors	NA	2	3	3	2	3	2	2	2	1	2	9	2	2	3	6	World	Temperate	Very
261	DE-LRP	Factor	4	Infrastructure-related_factors	NA	2	3	2	1	3	2	3	2	1	2	9	2	3	3	6	World	Temperate	Very
262	DE-LRP	Factor	9	Socio-economic_factors	NA	2	2	3	2	3	2	2	1	1	1	9	2	2	2	6	World	Temperate	Very
263	DE-LRP	Factor	5	Institutional_factors	NA	2	3	2	1	3	3	4	1	1	1	11	3	2	2	4	World	Temperate	Very
264	DE-LRP	Factor	4	Infrastructure-related_factors	NA	2	3	3	2	3	2	2	3	3	3	10	2	2	3	5	World	Temperate	Very
265	DE-LRP	Factor	2	Governance-related_factors	NA	2	2	2	1	2	3	4	1	1	1	10	2	1	2	5	World	Temperate	Very
266	DE-LRP	Factor	8	Socio-cultural_factors	NA	2	3	2	1	2	3	4	1	1	1	10	2	2	2	5	World	Temperate	Very
267	DE-LRP	Factor	5	Institutional_factors	NA	3	2	1	4	2	3	4	2	1	2	11	3	2	2	4	World	Temperate	Very
268	DE-LRP	Factor	8	Socio-cultural_factors	NA	3	3	2	3	3	2	3	2	2	2	10	2	3	3	5	World	Temperate	Very
269	DE-LRP	Factor	4	Infrastructure-related_factors	NA	2	3	1	1	2	3	4	2	1	2	11	3	2	2	4	World	Temperate	Very
270	DE-LRP	Factor	5	Institutional_factors	NA	3	2	1	1	2	3	4	2	1	2	11	3	3	2	4	World	Temperate	Very
271	DE-LRP	Factor	9	Socio-economic_factors	NA	2	2	3	2	3	2	2	1	1	1	8	2	2	2	7	World	Temperate	Very
272	DE-LRP	Factor	8	Socio-cultural_factors	NA	3	3	2	1	3	3	4	2	1	2	12	3	3	2	3	World	Temperate	Very
273	DE-LRP	Factor	7	Natural_resource-use_related_factors	NA	2	2	2	1	2	3	4	3	3	3	12	3	2	3	3	World	Temperate	Very
274	DE-LRP	Factor	8	Socio-cultural_factors	NA	2	2	3	1	3	3	4	2	1	2	12	3	3	3	3	World	Temperate	Very
275	DE-LRP	Factor	8	Socio-cultural_factors	NA	3	2	3	1	3	3	4	2	1	2	12	3	4	3	3	World	Temperate	Very
276	DE-LRP	Factor	6	Natural_factors	NA	4	2	3	2	3	2	2	1	1	1	8	2	2	2	7	World	Temperate	Very
277	DE-LRP	Factor	2	Governance-related_factors	NA	4	3	2	NA	3	2	2	3	1	2	9	2	3	2	6	World	Temperate	Very
278	DE-LRP	Factor	9	Socio-economic_factors	NA	3	3	3	2	3	2	2	3	1	2	9	2	3	2	6	World	Temperate	Very
279	DE-LRP	Factor	7	Natural_resource-use_related_factors	NA	2	3	3	2.5	2.66	3	4	NA	NA	NA	9.66	2	3	2	5	World	Temperate	Very
280	DE-LRP	Factor	4	Infrastructure-related_factors	NA	2	3	3	2.5	2.66	1	4	2	1	2	9.66	2	3	1	5	World	Temperate	Very
281	DE-LRP	Factor	2	Governance-related_factors	NA	3	3	2	1	3	3	2	3	1	2	10	2	4	1	5	World	Temperate	Very
282	DE-LRP	Factor	2	Governance-related_factors	NA	4	3	3	1	3	3	2	3	1	2	10	2	4	3	5	World	Temperate	Very
283	DE-LRP	Factor	9	Socio-economic_factors	NA	4	3	2	1	3	3	2	2	1	2	10	2	4	2	5	World	Temperate	Very
284	DE-LRP	Factor	7	Natural_resource-use_related_factors	NA	4	3	3	3	3	2	3	1	2	2	10	2	3	2	5	World	Temperate	Very
285	DE-LRP	Factor	4	Infrastructure-related_factors	NA	1	4	3	1	3	2	4	1	1	1	10	2	1.5	2	5	World	Temperate	Very
286	DE-LRP	Factor	8	Socio-cultural_factors	NA	3	4	3	3	3	3	3	3	1	2	11	3	3	3	4	World	Temperate	Very
287	DE-LRP	Factor	7	Natural_resource-use_related_factors	NA	1	1	2	1	2	3	4	2	1	2	11	3	2	2	4	World	Temperate	Very
288	DE-LRP	Factor	7	Natural_resource-use_related_factors	NA	3	3	2	4	2	3	3	3	2	3	11	3	2	1	4	World	Temperate	Very
289	DE-LRP	Factor	7	Natural_resource-use_related_factors	NA	3	4	3.5	4	4	3	3	1	1	1	11	3	NA	NA	4	World	Temperate	Very
290	DE-LRP	Factor	2	Governance-related_factors	NA	3	3	4	1.5	3.33	3	4	1	1	1	11.33	3	4	1	4	World	Temperate	Very
291	DE-LRP	Factor	9	Socio-economic_factors	NA	3	3	1	1	2.33	3	4	2	1	2	11.33	3	4	1	4	World	Temperate	Very
292	DE-LRP	Factor	9	Socio-economic_factors	NA	4	3	3	1.5	3.33	3	4	1	1	1	11.33	3	3	2	4	World	Temperate	Very
293	DE-LRP	Factor	9	Socio-economic_factors	NA	3	3	3	1	3	3	3.5	3	1	2	11.5	3	4	2	3	World	Temperate	Very
294	DE-LRP	Factor	2	Governance-related_factors	NA	2	3	3	1	2.66	3	4	3	1	2	11.66	3	3	2	3	World	Temperate	Very
295	DE-LRP	Factor	7	Natural_resource-use_related_factors	NA	3	3	4	3	4	3	3	1	2	2	12	3	3	2	3	World	Temperate	Very
296	DE-LRP	Factor	7	Natural_resource-use_related_factors	NA	3	2	2	1	3	3	4	2	1	2	12	3	3	2	3	World	Temperate	Very
297	DE-LRP	Factor	4	Infrastructure-related_factors	NA	2	3	3.5	1	3	3	4	2	2	2	12	3	3	2.5	3	World	Temperate	Very
298	DE-LRP	Factor	4	Infrastructure-related_factors	NA	2	4	3	2	3	3	3	3	2	3	12	3	3	2	3	World	Temperate	Very
299	DE-LRP	Factor	2	Governance-related_factors	NA	3	3	4	1.5	3.33	3	4	2	1	2	12.33	3	4	1	3	World	Temperate	Very
300	DE-LRP	Factor	2	Governance-related_factors	NA	4	3	3	1.5	3.33	3	4	3	1	2	12.33	3	3	2	3	World	Temperate	Very
301	DE-LRP	Factor	8	Socio-cultural_factors	NA	3	3	3	1	3	3	3.5	2	3	3	12.5	3	1	2	2	World	Temperate	Very
302	DE-LRP	Factor	9	Socio-economic_factors	NA	2	3	3	1	2.66	3	4	3	2	3	12.66	3	3	3	2	World	Temperate	Very
303	DE-LRP	Factor	9	Socio-economic_factors	NA	2	3	3	2.5	2.66	3	4	3	2	3	12.66	3	3	2	2	World	Temperate	Very
304	DE-LRP	Factor	9	Socio-economic_factors	NA	3	4	3	3	3	3	3	3	3	4	13	3	3	3	2	World	Temperate	Very
305	DE-LRP	Factor	2	Governance-related_factors	NA	3	3	4	1	3.33	4	4	3	1	2	13.33	3	4	1	2	World	Temperate	Very
306	DE-LRP	Factor	9	Socio-economic_factors	NA	3	4	3	1.5	3.33	4	4	3	1	2	13.33	3	4	1	2	World	Temperate	Very
307	DE-LRP	Factor	6	Natural_factors	NA	4	2	4	2	4	3	4	3	2	3	14	1	4	2	1	World	Temperate	Very
308	DE-AUE	Factor	2	Governance-related_factors	NA	NA	NA	NA	NA	NA	NA	NA	2	1	2	2	NA	NA	NA	NA	World	Temperate	Very
309	DE-AUE	Factor	9	Socio-economic_factors	NA	1	2	1	1	2	2	2	3	1	2	8	2	4	2	7	World	Temperate	Very
310	DE-AUE	Factor	2	Governance-related_factors	NA	1	1	3	1	3	2	2	3	1	2	9	2	4	2	6	World	Temperate	Very
311	DE-AUE	Factor	9	Socio-economic_factors	NA	1	1	2	1	2	2	3	3	1	2	9	2	4	2	6	World	Temperate	Very
312	DE-AUE	Factor	1	Demographic_factors	NA	1	1	2	1	2	2	3	3	1	2	9	2	4	2	6	World	Temperate	Very
313	DE-AUE	Factor	7	Natural_resource-use_related_factors	NA	2	2	4	1	4	2	2	3	1	2	10	2	4	2	5	World	Temperate	Very
314	DE-AUE	Factor	7	Natural_resource-use_related_factors	NA	3	3	2	1	4	2	2	1	2	2	10	2	3	3	5	World	Temperate	Very
315	DE-AUE	Factor	5	Institutional_factors	NA	2	2	3	1	3	2	3	3	1	2	10	2	4	2	5	World	Temperate	Very
316	DE-AUE	Factor	9	Socio-economic_factors	NA	3	2	4	NA	4	NA	4	3	1	2	10	2	4	NA	5	World	Temperate	Very
317	DE-AUE	Factor	8	Socio-cultural_factors	NA	3	3	3	3	3	2	3	3	1	2	10	2	2	3	5	World	Temperate	Very
318	DE-AUE	Factor	8	Socio-cultural_factors	NA	2	3	3	2	3	2	3	3	1	2	10	2	4	2	5	World	Temperate	Very
319	DE-AUE	Factor	4	Infrastructure-related_factors	NA	1	1	3	2	3	2	3	2	1	2	10	2	2	3	5	World	Temperate	Very
320	DE-AUE	Factor	9	Socio-economic_factors	NA	1	2	3	3	3	2	3	3	1	2	10	2	4	3	5	World	Temperate	Very
321	DE-AUE	Factor	8	Socio-cultural_factors	NA	2	1	3	1	2	3	2	3	2	3	10	2	4	3	5	World	Temperate	Very
322	DE-AUE	Factor	2	Governance-related_factors	NA	4	4	3	2	4	2	2	2	1	2	10	2	2	3	5	World	Temperate	Very
323	DE-AUE	Factor	2	Governance-related_factors	NA	1	1	4	2	3	2	3	3	1	2	10	2	4	2	5	World	Temperate	Very
324	DE-AUE	Factor	2	Governance-related_factors	NA	2	2	3	1	3	1	3	3	2	3	10	2	2	2	5	World	Temperate	Very
325	DE-AUE	Factor	7	Natural_resource-use_related_factors	NA	2	2	3	2	3	2	4	3	1	2	11	3	2	2	4	World	Temperate	Very
326	DE-AUE	Factor	9	Socio-economic_factors	NA	1	1	3	1	3	3	3	3	1	2	11	3	4	3	4	World	Temperate	Very
327	DE-AUE	Factor	7	Natural_resource-use_related_factors	NA	2	2	2	2	2	2	3	4	4	4	11	3	2	2	4	World	Temperate	Very
328	DE-AUE	Factor	9	Socio-economic_factors	NA	3	3	3	1	3	3	3	2	1	2	11	3	2	3	4	World	Temperate	Very
329	DE-AUE	Factor	2	Governance-related_factors	NA	3	2	4	1	3	2	4	3	1	2	11	3	4	3	4	World	Temperate	Very
330	DE-AUE	Factor	9	Socio-economic_factors	NA	2	4	3	2	3	2	3	3	2	3	11	3	4	3	4	World	Temperate	Very
331	DE-AUE	Factor	6	Natural_factors	NA	1	1	4	1	3	3	3	3	1	2	11	3	4	3	4	World	Temperate	Very
332	DE-AUE	Factor	1	Demographic_factors	NA	3	3	3	1	3	3	4	3	1	2	12	3	4	2	3	World	Temperate	Very
333	DE-AUE	Factor	4	Infrastructure-related_factors	NA	2	2	4	1	4	2	4	2	1	2	12	3	4	3	3	World	Temperate	Very
334	DE-AUE	Factor	2	Governance-related_factors	NA	3	2	4	1	3	2	4	3	2	3	12	3	4	3	3	World	Temperate	Very
335	DE-AUE	Factor	5	Institutional_factors	NA	4	4	3	2	4	2	3	3	2	3	12	3	1	2	3	World	Temperate	Very
336	DE-AUE	Factor	8	Socio-cultural_factors	NA	4	4	3	1	4	2	3	3	2	3	12	3	1	2	3	World	Temperate	Very
337	DE-AUE	Factor	9	Socio-economic_factors	NA	2	2	3	1	3	4	4	2	1	2	13	3	4	3	2	World	Temperate	Very
338	DE-AUE	Factor	2	Governance-related_factors	NA	4	4	4	1	4	4	3	3	1	2	13	3	3	3	2	World	Temperate	Very
339	DE-AUE	Factor	2	Governance-related_factors	NA	3	3	3	2	3	3	3	4	4	4	13	3	3	3	2	World	Temperate	Very
340	DE-AUE	Factor	7	Natural_resource-use_related_factors	NA	3	3	2	1	4	3	3	4	4	4	14	4	4	3	1	World	Temperate	Very
341	DE-AUE	Factor	4	Infrastructure-related_factors	NA	4	4	2	1	4	3	4	3	2	3	14	4	4	3	1	World	Temperate	Very
342	DE-RAN	Factor	8	Socio-cultural_factors	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Temperate	Very
343	DE-RAN	Factor	8	Socio-cultural_factors	NA	2	2	2	1	2	1	1	1	1	1	5	1	2	3	10	World	Temperate	Very
344	DE-RAN	Factor	5	Institutional_factors	NA	4	3	2	3	3	2	1	1	1	1	7	1	1	1	9	World	Temperate	Very
345	DE-RAN	Factor	5	Institutional_factors	NA	4	4	3	2	4	2	1	1	1	1	8	2	1	2	8	World	Temperate	Very
346	DE-RAN	Factor	2	Governance-related_factors	NA	4	2	2	1	3	2	1	3	1	2	8	2	2	2	8	World	Temperate	Very
347	DE-RAN	Factor	5	Institutional_factors	NA	3	3	3	2	3	2	1	3	1	2	8	2	2	2	8	World	Temperate	Very
348	DE-RAN	Factor	5	Institutional_factors	NA	4	4	3	2	4	2	1	1	1	1	8	2	1	2	8	World	Temperate	Very
349	DE-RAN	Factor	2	Governance-related_factors	NA	4	3	2	3	3	2	1	2	1	2	8	2	1	1	8	World	Temperate	Very
350	DE-RAN	Factor	9	Socio-economic_factors	NA	3	3	2	2	3	2	2	1	1	1	8	2	2	2	8	World	Temperate	Very
351	DE-RAN	Factor	5	Institutional_factors	NA	3	3	2	1	3	2	1	2	1	2	8	2	1	2	8	World	Temperate	Very
352	DE-RAN	Factor	5	Institutional_factors	NA	3	3	2	2	3	2	2	1	1	1	8	2	1	2	8	World	Temperate	Very
353	DE-RAN	Factor	2	Governance-related_factors	NA	4	3	2	1	3	2	1	2	1	2	8	2	1	2	8	World	Temperate	Very
354	DE-RAN	Factor	9	Socio-economic_factors	NA	4	2	3	2	3	2	2		1	1	8	2	2	1	8	World	Temperate	Very
355	DE-RAN	Factor	2	Governance-related_factors	NA	3	2	1	2	2	2	2	2	1	2	8	2	2	1	8	World	Temperate	Very
356	DE-RAN	Factor	5	Institutional_factors	NA	4	3	1	2	3	2	2	3	1	2	9	2	3	3	7	World	Temperate	Very
357	DE-RAN	Factor	8	Socio-cultural_factors	NA	3	3	3	2	3	2	2	2	1	2	9	2	1	3	7	World	Temperate	Very
358	DE-RAN	Factor	5	Institutional_factors	NA	3	3	3	2	3	2	2	3	1	2	9	2	2	2	7	World	Temperate	Very
359	DE-RAN	Factor	8	Socio-cultural_factors	NA	3	3	2	3	3	2	2	3	1	2	9	2	2	2	7	World	Temperate	Very
360	DE-RAN	Factor	5	Institutional_factors	NA	4	3	2	1	3	2	2	2	1	2	9	2	2	1	7	World	Temperate	Very
361	DE-RAN	Factor	5	Institutional_factors	NA	4	3	2	1	3	2	2	2	1	2	9	2	1	2	7	World	Temperate	Very
362	DE-RAN	Factor	5	Institutional_factors	NA	3	3	2	1	3	2	1	3	2	3	9	2	1	2	7	World	Temperate	Very
363	DE-RAN	Factor	5	Institutional_factors	NA	4	3	2	1	3	2	2	2	1	2	9	2	1	1	7	World	Temperate	Very
364	DE-RAN	Factor	5	Institutional_factors	NA	4	3	2	1	3	2	2	2	1	2	9	2	1	1	7	World	Temperate	Very
365	DE-RAN	Factor	5	Institutional_factors	NA	4	3	2	2	3	2	2	2	1	2	9	2	1	2	7	World	Temperate	Very
366	DE-RAN	Factor	2	Governance-related_factors	NA	4	2	2	1	3	2	2	2	1	2	9	2	2	2	7	World	Temperate	Very
367	DE-RAN	Factor	7	Natural_resource-use_related_factors	NA	3	4	3	2	4	2	1	3	1	2	9	2	3	1	7	World	Temperate	Very
368	DE-RAN	Factor	5	Institutional_factors	NA	3	3	2	1	3	2	2	3	1	2	9	2	2	1	7	World	Temperate	Very
369	DE-RAN	Factor	2	Governance-related_factors	NA	3	3	3	2	3	2	2	3	1	2	9	2	3	1	7	World	Temperate	Very
370	DE-RAN	Factor	5	Institutional_factors	NA	4	2	2	2	3	2	2	3	1	2	9	2	2	2	7	World	Temperate	Very
371	DE-RAN	Factor	5	Institutional_factors	NA	3	3	2	2	3	2	2	2	1	2	9	2	2	2	7	World	Temperate	Very
372	DE-RAN	Factor	5	Institutional_factors	NA	4	3	2	2	3	2	2	3	1	2	9	2	1	2	7	World	Temperate	Very
373	DE-RAN	Factor	2	Governance-related_factors	NA	3	3	2	2	3	2	2	2	1	2	9	2	1	2	7	World	Temperate	Very
374	DE-RAN	Factor	5	Institutional_factors	NA	3	2	2	2	3	2	2	3	1	2	9	2	2	2	7	World	Temperate	Very
375	DE-RAN	Factor	2	Governance-related_factors	NA	4	3	2	2	3	2	2	2	1	2	9	2	3	2	7	World	Temperate	Very
